"SERIALNO","SPORDER","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","GCL","GCM","GCR","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA","MIGSP","MSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","VPS","WAOB","DETAILED-SPORDER_Person number","DETAILED-PUMA_Public use microdata area code (PUMA) based on 2020 Census definition (areas with population of 100,000 or more, use with STATE for unique code)","DETAILED-PWGTP_Person's weight","DETAILED-CIT_Citizenship status","DETAILED-CITWP_Year of naturalization write-in","DETAILED-COW_Class of worker","DETAILED-ENG_Ability to speak English","DETAILED-FER_Gave birth to child within the past 12 months","DETAILED-GCL_Grandparents living with grandchildren","DETAILED-GCM_Length of time responsible for grandchildren","DETAILED-GCR_Grandparents responsible for grandchildren","DETAILED-HIMRKS_Subsidized Marketplace Coverage","DETAILED-HINS1_Insurance through a current or former employer or union","DETAILED-HINS2_Insurance purchased directly from an insurance company","DETAILED-HINS3_Medicare, for people 65 and older, or people with certain disabilities","DETAILED-HINS4_Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or a disability","DETAILED-HINS5_TRICARE or other military health care","DETAILED-HINS6_VA (enrolled for VA health care)","DETAILED-HINS7_Indian Health Service","DETAILED-INTP_Interest, dividends, and net rental income past 12 months (use ADJINC to adjust to constant dollars)","DETAILED-JWMNP_Travel time to work","DETAILED-JWRIP_Vehicle occupancy","DETAILED-JWTRNS_Means of transportation to work","DETAILED-LANX_Language other than English spoken at home","DETAILED-MAR_Marital status","DETAILED-MARHD_Divorced in the past 12 months","DETAILED-MARHM_Married in the past 12 months","DETAILED-MARHT_Number of times married","DETAILED-MARHW_Widowed in the past 12 months","DETAILED-MARHYP_Year last married","DETAILED-MIG_Mobility status (lived here 1 year ago)","DETAILED-MIL_Military service","DETAILED-MLPA_Served September 2001 or later","DETAILED-MLPB_Served August 1990 - August 2001 (including Persian Gulf War)","DETAILED-MLPCD_Served May 1975 - July 1990","DETAILED-MLPE_Served Vietnam era (August 1964 - April 1975)","DETAILED-MLPFG_Served February 1955 - July 1964","DETAILED-MLPH_Served Korean War (July 1950 - January 1955)","DETAILED-MLPIK_Peacetime service before July 1950","DETAILED-MLPJ_Served World War II (December 1941 - December 1946)","DETAILED-NWAB_Temporary absence from work (UNEDITED - See 'Employment Status Recode' (ESR))","DETAILED-NWAV_Available for work (UNEDITED - See 'Employment Status Recode' (ESR))","DETAILED-NWLA_On layoff from work (UNEDITED - See 'Employment Status Recode' (ESR))","DETAILED-NWLK_Looking for work (UNEDITED - See 'Employment Status Recode' (ESR))","DETAILED-NWRE_Informed of recall (UNEDITED - See 'Employment Status Recode' (ESR))","DETAILED-OIP_All other income past 12 months (use ADJINC to adjust to constant dollars)","DETAILED-PAP_Public assistance income past 12 months (use ADJINC to adjust to constant dollars)","DETAILED-RETP_Retirement income past 12 months (use ADJINC to adjust to constant dollars)","DETAILED-SCH_School enrollment","DETAILED-SCHG_Grade level attending","DETAILED-SCHL_Educational attainment","DETAILED-SEMP_Self-employment income past 12 months (use ADJINC to adjust SEMP to constant dollars)","DETAILED-SEX_Sex","DETAILED-SSIP_Supplementary Security Income past 12 months (use ADJINC to adjust SSIP to constant dollars)","DETAILED-SSP_Social Security income past 12 months (use ADJINC to adjust SSP to constant dollars)","DETAILED-WAGP_Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars)","DETAILED-WKHP_Usual hours worked per week past 12 months","DETAILED-WKWN_Weeks worked during past 12 months","DETAILED-WRK_Worked last week","DETAILED-YOEP_Year of entry","DETAILED-ANC_Ancestry recode","DETAILED-ANC1P_Recoded Detailed Ancestry - first entry","DETAILED-ANC2P_Recoded Detailed Ancestry - second entry","DETAILED-DECADE_Decade of entry","DETAILED-DRIVESP_Number of vehicles calculated from JWRI","DETAILED-ESP_Employment status of parents","DETAILED-ESR_Employment status recode","DETAILED-FOD1P_Recoded field of degree - first entry","DETAILED-FOD2P_Recoded field of degree - second entry","DETAILED-HICOV_Health insurance coverage recode","DETAILED-HISP_Recoded detailed Hispanic origin","DETAILED-INDP_Industry recode for 2023 and later based on 2022 IND codes","DETAILED-JWAP_Time of arrival at work - hour and minute","DETAILED-JWDP_Time of departure for work - hour and minute","DETAILED-LANP_Language spoken at home","DETAILED-MIGPUMA_Migration PUMA based on 2020 Census definition","DETAILED-MIGSP_Migration recode - State or foreign country code","DETAILED-MSP_Married, spouse present/spouse absent","DETAILED-NATIVITY_Nativity","DETAILED-NOP_Nativity of parent","DETAILED-OC_Own child","DETAILED-OCCP_Occupation recode for 2018 and later based on 2018 OCC codes","DETAILED-PAOC_Presence and age of own children","DETAILED-PERNP_Total person's earnings (use ADJINC to adjust to constant dollars)","DETAILED-PINCP_Total person's income (use ADJINC to adjust to constant dollars)","DETAILED-POBP_Place of birth (Recode)","DETAILED-POVPIP_Income-to-poverty ratio recode","DETAILED-POWPUMA_Place of work PUMA based on 2020 Census definition","DETAILED-POWSP_Place of work - State or foreign country recode","DETAILED-PRIVCOV_Private health insurance coverage recode","DETAILED-PUBCOV_Public health coverage recode","DETAILED-QTRBIR_Quarter of birth","DETAILED-RAC1P_Recoded detailed race code","DETAILED-RAC2P_Recoded detailed race code","DETAILED-RAC3P_Recoded detailed race code","DETAILED-RACAIAN_American Indian and Alaska Native recode (American Indian and Alaska Native alone or in combination with one or more other races)","DETAILED-RACASN_Asian recode (Asian alone or in combination with one or more other races)","DETAILED-RACBLK_Black or African American recode (Black alone or in combination with one or more other races)","DETAILED-RACNH_Native Hawaiian recode (Native Hawaiian alone or in combination with one or more other races)","DETAILED-RACNUM_Number of major race groups represented","DETAILED-RACPI_Other Pacific Islander recode (Other Pacific Islander alone or in combination with one or more other races)","DETAILED-RACSOR_Some other race recode (Some other race alone or in combination with one or more other races)","DETAILED-RACWHT_White recode (White alone or in combination with one or more other races)","DETAILED-RC_Related child","DETAILED-SCIENGP_Field of Degree Science and Engineering Flag - NSF Definition","DETAILED-SCIENGRLP_Field of Degree Science and Engineering Related Flag - NSF Definition","DETAILED-SFN_Subfamily number","DETAILED-SFR_Subfamily relationship","DETAILED-VPS_Veteran period of service","DETAILED-WAOB_World area of birth","Class"
"2023HU0127801",2,506,91,"1",NA,NA,NA,NA,TRUE,NA,NA,"2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,NA,NA,NA,"2","1",NA,NA,"1",NA,"1975","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","5","2","2","3",0,0,0,"1",NA,"16",0,TRUE,0,3600,0,NA,NA,TRUE,NA,"1","50","999",NA,NA,NA,"6",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1","1",NA,FALSE,NA,"4",0,3600,"25",265,NA,NA,"1","1","1","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,"1",2,506,91,"Born in the United States",NA,NA,NA,NA,"No",NA,NA,"Direct purchase coverage, without a premium subsidy","Yes","Yes","Yes","No","No","No","No",0,NA,NA,NA,"No, speaks only English","Married","No","No","One time","No","1975","Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"No","Did not report","No","No","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Female",0,3600,0,NA,NA,"Did not work",NA,"Single","Irish","Not reported",NA,NA,NA,"Not in labor force",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino",NA,NA,NA,NA,NA,NA,"Now married, spouse present","Native",NA,"No",NA,"Females with no own children",0,3600,"Massachusetts/MA",265,NA,NA,"With private health insurance coverage","With public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No",NA,NA,NA,NA,NA,"US state (POBP = 001-059)","0"
"2023GQ0117074",1,504,81,"1",NA,"4",NA,NA,NA,NA,NA,"0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,NA,NA,"11","2","5",NA,NA,NA,NA,NA,"3","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","3","3","3",0,0,0,"2","15","19",0,TRUE,0,0,3000,30,12,TRUE,NA,"4","999","999",NA,NA,NA,"1",NA,NA,"1","1","9480",NA,NA,NA,"500","25","6","1",NA,NA,"4640",NA,3000,3000,"25",NA,500,25,"1","2","1","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"1",1,504,81,"Born in the United States",NA,"State government employee",NA,NA,NA,NA,NA,"Categorically ineligible for subsidy","Yes","No","No","No","No","No","No",0,NA,NA,"Worked from home","No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"No, different house in US or Puerto Rico","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report",0,"0",0,"Yes, public school or public college","College undergraduate years (freshman to senior)","1 or more years of college credit, no degree",0,"Male",0,0,3000,30,12,"Worked",NA,"Not reported","Not reported","Not reported",NA,NA,NA,"Civilian employed, at work",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","ADM-Administration Of Human Resource Programs",NA,NA,NA,"500","25","Never married","Native",NA,NA,"PRS-Residential Advisors",NA,3000,3000,"Massachusetts/MA",NA,500,25,"With private health insurance coverage","Without public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes",NA,NA,NA,NA,NA,NA,"US state (POBP = 001-059)","0"
"2023HU0050259",2,1002,112,"1",NA,"6",NA,NA,TRUE,NA,NA,"0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,60,"1","1","2","1",NA,NA,"2",NA,"1981","1","2",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"3","5","3","3","3",0,0,0,"1",NA,"16",31800,TRUE,0,20400,0,40,52,TRUE,NA,"2","22","32",NA,"1",NA,"1",NA,NA,"1","1","770","82","31",NA,NA,NA,"1","1",NA,FALSE,"102",NA,31800,52200,"25",347,1000,25,"2","1","2","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,"6","1",2,1002,112,"Born in the United States",NA,"Self-employed in own not incorporated business, professional practice, or farm",NA,NA,"No",NA,NA,"Categorically ineligible for subsidy","No","No","Yes","No","No","No","No",0,60,"Drove alone","Car, truck, or van","No, speaks only English","Married","No","No","Two times","No","1981","Yes, same house (nonmovers)","On active duty in the past, but not now","Did not serve this period","Did not serve this period","Served this period","Served this period","Did not serve this period","Did not serve this period","Did not serve this period","Did not serve this period","Did not report","Did not report","Did not report","Did not report","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Regular high school diploma",31800,"Male",0,20400,0,40,52,"Worked",NA,"Multiple","English","German",NA,"1.000 vehicles (Drove alone)",NA,"Civilian employed, at work",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction)","7:00 a.m. to 7:04 a.m.","6:00 a.m. to 6:04 a.m.",NA,NA,NA,"Now married, spouse present","Native",NA,"No","MGR-Facilities Managers",NA,31800,52200,"Massachusetts/MA",347,1000,25,"Without private health insurance coverage","With public health coverage","April through June","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No",NA,NA,NA,NA,"Vietnam Era","US state (POBP = 001-059)","0"
"2023HU0737154",1,504,109,"1",NA,"1",NA,NA,TRUE,NA,NA,"0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,10,"1","1","2","2",NA,NA,"1",NA,"1996","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","5","2","3","3",0,0,0,"1",NA,"16",0,TRUE,0,20600,78000,39,52,TRUE,NA,"4","999","999",NA,"1",NA,"1",NA,NA,"1","1","8980","90","49",NA,NA,NA,"3","1",NA,FALSE,"4510","4",78000,98600,"25",501,500,25,"2","1","2","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,"1",1,504,109,"Born in the United States",NA,"Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions",NA,NA,"No",NA,NA,"Categorically ineligible for subsidy","No","No","Yes","No","No","No","No",0,10,"Drove alone","Car, truck, or van","No, speaks only English","Widowed","No","No","One time","No","1996","Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"No","Did not report","No","Did not report","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Female",0,20600,78000,39,52,"Worked",NA,"Not reported","Not reported","Not reported",NA,"1.000 vehicles (Drove alone)",NA,"Civilian employed, at work",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","SRV-Beauty Salons","7:40 a.m. to 7:44 a.m.","7:30 a.m. to 7:34 a.m.",NA,NA,NA,"Widowed","Native",NA,"No","PRS-Hairdressers, Hairstylists, And Cosmetologists","Females with no own children",78000,98600,"Massachusetts/MA",501,500,25,"Without private health insurance coverage","With public health coverage","April through June","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No",NA,NA,NA,NA,NA,"US state (POBP = 001-059)","0"
"2023HU1239671",1,507,93,"1",NA,"7",NA,NA,TRUE,NA,NA,"2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,NA,NA,"11","2","1",NA,NA,"1",NA,"1989","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","3","3","3",0,0,0,"1",NA,"21",0,TRUE,0,4700,60000,40,52,TRUE,NA,"2","22","21",NA,NA,NA,"1","6402",NA,"1","1","4580",NA,NA,NA,NA,NA,"1","1",NA,FALSE,"4850",NA,60000,64700,"25",452,500,25,"1","1","1","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,"1",1,507,93,"Born in the United States",NA,"Self-employed in own incorporated business, professional practice or farm",NA,NA,"No",NA,NA,"Direct purchase coverage, without a premium subsidy","No","Yes","Yes","No","No","No","No",0,NA,NA,"Worked from home","No, speaks only English","Married","No","No","One time","No","1989","Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Bachelor's degree",0,"Male",0,4700,60000,40,52,"Worked",NA,"Multiple","English","Dutch",NA,NA,NA,"Civilian employed, at work","History",NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","WHL-Miscellaneous Nondurable Goods Merchant, Except Farm Supplies, Wholesalers",NA,NA,NA,NA,NA,"Now married, spouse present","Native",NA,"No","SAL-Sales Representatives, Wholesale And Manufacturing",NA,60000,64700,"Massachusetts/MA",452,500,25,"With private health insurance coverage","With public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No","No","No",NA,NA,NA,"US state (POBP = 001-059)","0"
"2023HU0130514",1,803,68,"5",NA,"1","1",NA,TRUE,NA,NA,"0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,NA,NA,"11","1","1",NA,NA,"1",NA,"2009","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","3","3","3",0,0,0,"1",NA,"16",0,TRUE,0,0,47000,25,52,TRUE,2021,"4","999","999","8",NA,NA,"1",NA,NA,"1","1","5392",NA,NA,"1960",NA,NA,"1","2",NA,FALSE,"5510",NA,47000,47000,"247",501,800,25,"1","2","1","6","4014","9",FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,"4",1,803,68,"Not a U.S. citizen",NA,"Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions","Very well",NA,"No",NA,NA,"Categorically ineligible for subsidy","Yes","No","No","No","No","No","No",0,NA,NA,"Worked from home","Yes, speaks another language","Married","No","No","One time","No","2009","Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Male",0,0,47000,25,52,"Worked",2021,"Not reported","Not reported","Not reported","2010 or later",NA,NA,"Civilian employed, at work",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",NA,NA,"Vietnamese",NA,NA,"Now married, spouse present","Foreign born",NA,"No","OFF-Couriers And Messengers",NA,47000,47000,"Vietnam",501,800,25,"With private health insurance coverage","Without public health coverage","January through March","Asian alone","Vietnamese alone","Vietnamese alone","No","Yes","No","No",1,"No","No","No","No",NA,NA,NA,NA,NA,"Asia (POBP = 158-159,161,200-299)","0"
"2023HU0332320",2,1104,70,"1",NA,NA,NA,NA,TRUE,NA,NA,"2",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20000,NA,NA,NA,"2","1",NA,NA,"1",NA,"1957","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","3","3","3",0,0,0,"1",NA,"20",0,TRUE,0,11000,0,NA,NA,NA,NA,"4","999","999",NA,NA,NA,"6",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"1","1",NA,FALSE,NA,"4",0,31000,"25",497,NA,NA,"1","1","3","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,"1",2,1104,70,"Born in the United States",NA,NA,NA,NA,"No",NA,NA,"Direct purchase coverage, without a premium subsidy","No","Yes","Yes","No","No","No","No",20000,NA,NA,NA,"No, speaks only English","Married","No","No","One time","No","1957","Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Associate's degree",0,"Female",0,11000,0,NA,NA,NA,NA,"Not reported","Not reported","Not reported",NA,NA,NA,"Not in labor force",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino",NA,NA,NA,NA,NA,NA,"Now married, spouse present","Native",NA,"No",NA,"Females with no own children",0,31000,"Massachusetts/MA",497,NA,NA,"With private health insurance coverage","With public health coverage","July through September","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No",NA,NA,NA,NA,NA,"US state (POBP = 001-059)","0"
"2023GQ0077698",1,611,6,"1",NA,NA,NA,NA,TRUE,NA,NA,"0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,NA,NA,NA,"2","5",NA,NA,NA,NA,NA,"1","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","5","2","2","3",0,0,0,"1",NA,"4",0,TRUE,0,11000,0,NA,NA,TRUE,NA,"2","939","51",NA,NA,NA,"6",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,"6","1",NA,NA,NA,NA,0,11000,"25",70,NA,NA,"2","1","4","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"1",1,611,6,"Born in the United States",NA,NA,NA,NA,"No",NA,NA,"Categorically ineligible for subsidy","No","No","Yes","Yes","No","No","No",0,NA,NA,NA,"No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"No","Did not report","No","No","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Grade 1",0,"Male",0,11000,0,NA,NA,"Did not work",NA,"Multiple","American","Italian",NA,NA,NA,"Not in labor force",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino",NA,NA,NA,NA,NA,NA,"Never married","Native",NA,NA,NA,NA,0,11000,"Massachusetts/MA",70,NA,NA,"Without private health insurance coverage","With public health coverage","October through December","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes",NA,NA,NA,NA,NA,NA,"US state (POBP = 001-059)","0"
"2023HU0266377",2,601,47,"1",NA,"2",NA,TRUE,NA,NA,NA,"0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5500,NA,NA,"11","2","5",NA,NA,NA,NA,NA,"1","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","3","3","3",0,0,0,"1",NA,"21",0,TRUE,0,0,80000,40,52,TRUE,NA,"2","32","22",NA,NA,NA,"1","6206","6402","1","1","8470",NA,NA,NA,NA,NA,"6","1",NA,FALSE,"735","4",80000,85500,"9",501,600,25,"1","2","3","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,"1",2,601,47,"Born in the United States",NA,"Employee of a private not-for-profit, tax-exempt, or charitable organization",NA,"No",NA,NA,NA,"Categorically ineligible for subsidy","Yes","No","No","No","No","No","No",5500,NA,NA,"Worked from home","No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Bachelor's degree",0,"Female",0,0,80000,40,52,"Worked",NA,"Multiple","German","English",NA,NA,NA,"Civilian employed, at work","Marketing And Marketing Research","History","With health insurance coverage","Not Spanish/Hispanic/Latino","SCA-Child Care Services",NA,NA,NA,NA,NA,"Never married","Native",NA,"No","BUS-Market Research Analysts And Marketing Specialists","Females with no own children",80000,85500,"Connecticut/CT",501,600,25,"With private health insurance coverage","Without public health coverage","July through September","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No","No","No",NA,NA,NA,"US state (POBP = 001-059)","0"
"2023HU0803179",1,906,115,"1",NA,"1",NA,NA,TRUE,NA,NA,"0",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1600,NA,NA,"11","2","1",NA,NA,"1",NA,"2001","1","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","5","3","3","3",0,0,0,"1",NA,"21",0,TRUE,0,0,90000,45,52,TRUE,NA,"2","50","26",NA,NA,NA,"1","6207",NA,"1","1","6970",NA,NA,NA,NA,NA,"1","1",NA,FALSE,"850",NA,90000,91600,"25",501,900,25,"1","2","1","1","1000","1",FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,"1",1,906,115,"Born in the United States",NA,"Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions",NA,NA,"No",NA,NA,"Categorically ineligible for subsidy","Yes","No","No","No","No","No","No",1600,NA,NA,"Worked from home","No, speaks only English","Married","No","No","One time","No","2001","Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report",0,"0",0,"No, has not attended in the last 3 months",NA,"Bachelor's degree",0,"Male",0,0,90000,45,52,"Worked",NA,"Multiple","Irish","French",NA,NA,NA,"Civilian employed, at work","Finance",NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","FIN-Securities, Commodities, Funds, Trusts, And Other Financial Investments",NA,NA,NA,NA,NA,"Now married, spouse present","Native",NA,"No","FIN-Personal Financial Advisors",NA,90000,91600,"Massachusetts/MA",501,900,25,"With private health insurance coverage","Without public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No","No","No",NA,NA,NA,"US state (POBP = 001-059)","0"
